vkmt,vdpp,d_sat,d_sup,ex_effi,in_effi,trust,engage,SEX,AGE,weight,year,N_kmt,N_dpp,NPID,EDU_2.0,EDU_3.0,EDU_4.0,EDU_5.0,PartyID_1.0,PartyID_2.0,BLosser
8.0,1.0,3.0,0.0,3.0,1.0,2.0,3.0,0.0,1.0,1.152926221797,2008,0,1,0,0,0,1,0,1,0,0
3.0,1.0,4.0,0.0,3.0,4.0,2.0,4.0,1.0,1.0,1.03234055762538,2008,0,1,0,0,0,0,1,0,0,0
7.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,3.0,1.02394448749702,2008,0,0,0,0,1,0,0,0,0,0
10.0,0.0,3.0,0.0,3.0,2.0,2.0,2.0,1.0,3.0,1.02394448749702,2008,0,1,0,0,1,0,0,1,0,0
3.0,7.0,3.0,0.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0998848418848,2008,0,0,0,0,1,0,0,0,1,0
5.0,5.0,3.0,0.0,3.0,2.0,2.0,2.0,0.0,3.0,0.855185950069303,2008,0,0,0,0,0,0,1,0,0,0
7.0,7.0,3.0,1.0,3.0,3.0,3.0,2.0,0.0,1.0,1.152926221797,2008,0,0,0,0,0,1,0,1,0,0
4.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,0.0,4.0,0.844774718870125,2008,0,1,0,0,0,0,0,0,1,0
9.0,3.0,3.0,0.0,3.0,3.0,2.0,3.0,1.0,3.0,1.17295674046965,2008,0,0,0,1,0,0,0,1,0,0
8.0,4.0,2.0,0.0,3.0,1.0,2.0,1.0,0.0,3.0,1.20046584325883,2008,0,0,0,1,0,0,0,1,0,0
5.0,5.0,3.0,0.0,3.0,2.0,2.0,1.0,0.0,4.0,1.02126961424478,2008,0,0,0,1,0,0,0,0,0,0
6.0,7.0,2.0,0.0,3.0,2.0,2.0,2.0,0.0,2.0,1.28949781977773,2008,0,0,0,1,0,0,0,1,0,0
5.0,5.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,4.0,0.71085880608674,2008,0,0,0,0,0,0,1,1,0,0
6.0,2.0,4.0,1.0,4.0,3.0,3.0,2.0,1.0,2.0,0.897560123040092,2008,0,1,0,0,0,0,1,1,0,0
